beta_3,beta_4,sigma_3,sigma_4,time
9.582899649161341e-06,1.8236480113291015e-06,1.441634581199491e-06,1.4416562778750085e-06,1910992.8639997577
3.8798497452671e-06,-1.254893678940931e-06,1.1862739622216283e-06,1.1862801446143036e-06,1913492.8017953935
6.365813090081183e-06,-1.4740909355215777e-06,1.2781967837360326e-06,1.2781592365267554e-06,1915992.9334927262
5.700529676577033e-07,-7.991091813285685e-06,1.174577288445181e-06,1.1746587621278804e-06,1918492.8740186936
-7.324234932605409e-06,1.0543828049196403e-06,1.3484957884636115e-06,1.3484375691913019e-06,1920992.8486479518
3.0668566824981994e-06,-3.6401717945318955e-06,1.470528877296693e-06,1.47045973531671e-06,1923492.923238571
-5.791252317048886e-06,3.059345070561233e-07,1.3512421779953246e-06,1.351135174027921e-06,1925992.8843577607
7.293804240874195e-06,1.357408359904653e-06,1.224487213947195e-06,1.2244199247994862e-06,1928492.910820519
-4.639838993589349e-06,-4.944140515411662e-06,1.4143331325580377e-06,1.4143405211381035e-06,1930992.9362935922
-9.014492351266872e-06,4.617459622461853e-06,1.0345423830374392e-06,1.0345024007782437e-06,1933492.9316492076
2.899865922914367e-06,7.77057435023727e-06,1.412609253730478e-06,1.4125770163204168e-06,1935992.953968938
7.837682676634559e-06,-5.13148445250008e-06,1.2349577944066343e-06,1.2348691434019138e-06,1938492.9545658436
-8.890910600839042e-06,-9.595039272667557e-07,1.2781559482681342e-06,1.2781630699412807e-06,1940993.0210015255
3.0082063560776763e-06,-6.4729438410770355e-06,1.3748614887889398e-06,1.3749254382056595e-06,1943493.0787259208
-4.165198909984825e-06,-2.4849147160801765e-06,1.3304843792247494e-06,1.3304199171316375e-06,1945992.9672444717
1.5993250385893148e-06,2.583508983232343e-06,1.2609674358106114e-06,1.2610294265105416e-06,1948492.9686279993
-4.951285441246586e-06,2.2325737904062442e-06,1.4797303677056936e-06,1.4795775738522122e-06,1950993.0223324574
1.125585699573137e-06,5.02170514343339e-07,1.5918228473882565e-06,1.5920497573197409e-06,1953492.9893620068
-8.102405762288066e-07,-4.7854930484852605e-06,1.4343601531666708e-06,1.4343620564923154e-06,1955993.0574411384
-1.6967553186220063e-06,1.4118466805523924e-07,1.5104129015968945e-06,1.5107850946580086e-06,1958492.4220918196
5.775885819824872e-07,-3.9282915311337864e-07,1.4109785412460412e-06,1.4110497839483872e-06,1960993.0534902995
-3.020778720313176e-08,2.449742570849677e-06,1.5869267239184684e-06,1.587248761950796e-06,1963493.3741694964
-3.707398782401206e-06,-8.961459486034741e-07,1.2819254925154362e-06,1.2819042616414414e-06,1965993.0693447639
8.182299013358372e-06,-1.652540692204876e-06,1.5494859444673873e-06,1.549459479458094e-06,1968493.0556446866
-7.233234175030851e-06,-8.400561145431216e-07,1.500521880278458e-06,1.5005799986727586e-06,1970993.060413451
1.155639459295482e-06,3.984674564682044e-06,1.4471217312676817e-06,1.4472273874758123e-06,1973492.580102698
